"time","output_value","slope"
2.92,5.84,2
2.94,5.88,2
2.96,5.92,2
2.98,5.96,2
3,6,2
3.02,6.04,2
3.04,6.08,2
3.06,6.12,2
3.08,6.16,2
3.1,6.2,2
3.12,6.24,2
3.14,6.28,2
3.16,6.32,2
3.18,6.36,2
3.2,6.4,2
3.22,6.44,2
3.24,6.48,2
3.26,6.52,2
3.28,6.56,2
3.3,6.6,2
3.32,6.64,2
3.34,6.68,2
3.36,6.72,2
3.38,6.76,2
3.4,6.8,2
3.42,6.84,2
3.44,6.88,2
3.46,6.92,2
3.48,6.96,2
3.5,7,2
3.52,7.04,2
3.54,7.08,2
3.56,7.12,2
3.58,7.16,2
3.6,7.2,2
3.62,7.24,2
3.64,7.28,2
3.66,7.32,2
3.68,7.36,2
3.7,7.4,2
3.72,7.44,2
3.74,7.48,2
3.76,7.52,2
3.78,7.56,2
3.8,7.6,2
3.82,7.64,2
3.84,7.68,2
3.86,7.72,2
3.88,7.76,2
3.9,7.8,2
3.92,7.84,2
3.94,7.88,2
3.96,7.92,2
3.98,7.96,2
4,8,2
4.02,8.04,2
4.04,8.08,2
4.06,8.12,2
4.08,8.16,2
4.1,8.2,2
4.12,8.24,2
4.14,8.28,2
4.16,8.32,2
4.18,8.36,2
4.2,8.4,2
4.22,8.44,2
4.24,8.48,2
4.26,8.52,2
4.28,8.56,2
4.3,8.6,2
4.32,8.64,2
4.34,8.68,2
4.36,8.72,2
4.38,8.76,2
4.4,8.8,2
4.42,8.84,2
4.44,8.88,2
4.46,8.92,2
4.48,8.96,2
4.5,9,2
4.52,9.04,2
4.54,9.08,2
4.56,9.12,2
4.58,9.16,2
4.6,9.2,2
4.62,9.24,2
4.64,9.28,2
4.66,9.32,2
4.68,9.36,2
4.7,9.4,2
4.72,9.44,2
4.74,9.48,2
4.76,9.52,2
4.78,9.56,2
4.8,9.6,2
4.82,9.64,2
4.84,9.68,2
4.86,9.72,2
4.88,9.76,2
4.9,9.8,2
4.92,9.84,2
4.94,9.88,2
4.96,9.92,2
4.98,9.96,2
5,10,2
5.02,10.04,2
5.04,10.08,2
5.06,10.12,2
5.08,10.16,2
5.1,10.2,2
5.12,10.24,2
5.14,10.28,2
5.16,10.32,2
5.18,10.36,2
5.2,10.4,2
5.22,10.44,2
5.24,10.48,2
5.26,10.52,2
5.28,10.56,2
5.3,10.6,2
5.32,10.64,2
5.34,10.68,2
5.36,10.72,2
5.38,10.76,2
5.4,10.8,2
5.42,10.84,2
5.44,10.88,2
5.46,10.92,2
5.48,10.96,2
5.5,11,2
5.52,11.04,2
5.54,11.08,2
5.56,11.12,2
5.58,11.16,2
5.6,11.2,2
5.62,11.24,2
5.64,11.28,2
5.66,11.32,2
5.68,11.36,2
5.7,11.4,2
5.72,11.44,2
5.74,11.48,2
5.76,11.52,2
5.78,11.56,2
5.8,11.6,2
5.82,11.64,2
5.84,11.68,2
5.86,11.72,2
5.88,11.76,2
5.9,11.8,2
5.92,11.84,2
5.94,11.88,2
5.96,11.92,2
5.98,11.96,2
6,12,2
6.02,12.04,2
6.04,12.08,2
6.06,12.12,2
6.08,12.16,2
6.1,12.2,2
6.12,12.24,2
6.14,12.28,2
6.16,12.32,2
6.18,12.36,2
6.2,12.4,2
6.22,12.44,2
6.24,12.48,2
6.26,12.52,2
6.28,12.56,2
6.3,12.6,2
6.32,12.64,2
6.34,12.68,2
6.36,12.72,2
6.38,12.76,2
6.4,12.8,2
6.42,12.84,2
6.44,12.88,2
6.46,12.92,2
6.48,12.96,2
6.5,13,2
6.52,13.04,2
6.54,13.08,2
6.56,13.12,2
6.58,13.16,2
6.6,13.2,2
6.62,13.24,2
6.64,13.28,2
6.66,13.32,2
6.68,13.36,2
6.7,13.4,2
6.72,13.44,2
6.74,13.48,2
6.76,13.52,2
6.78,13.56,2
6.8,13.6,2
6.82,13.64,2
6.84,13.68,2
6.86,13.72,2
6.88,13.76,2
6.9,13.8,2
6.92,13.84,2
6.94,13.88,2
6.96,13.92,2
6.98,13.96,2
7,14,2
7.02,14.04,2
7.04,14.08,2
7.06,14.12,2
7.08,14.16,2
7.1,14.2,2
7.12,14.24,2
7.14,14.28,2
7.16,14.32,2
7.18,14.36,2
7.2,14.4,2
7.22,14.44,2
7.24,14.48,2
7.26,14.52,2
7.28,14.56,2
7.3,14.6,2
7.32,14.64,2
7.34,14.68,2
7.36,14.72,2
7.38,14.76,2
7.4,14.8,2
7.42,14.84,2
7.44,14.88,2
7.46,14.92,2
7.48,14.96,2
7.5,15,2
7.52,15.04,2
7.54,15.08,2
7.56,15.12,2
7.58,15.16,2
7.6,15.2,2
7.62,15.24,2
7.64,15.28,2
7.66,15.32,2
7.68,15.36,2
7.7,15.4,2
7.72,15.44,2
7.74,15.48,2
7.76,15.52,2
7.78,15.56,2
7.8,15.6,2
7.82,15.64,2
7.84,15.68,2
7.86,15.72,2
7.88,15.76,2
7.9,15.8,2
7.92,15.84,2
7.94,15.88,2
7.96,15.92,2
7.98,15.96,2
8,16,2
8.02,16.04,2
8.04,16.08,2
8.06,16.12,2
8.08,16.16,2
8.1,16.2,2
8.12,16.24,2
8.14,16.28,2
8.16,16.32,2
8.18,16.36,2
8.2,16.4,2
8.22,16.44,2
8.24,16.48,2
8.26,16.52,2
8.28,16.56,2
8.3,16.6,2
8.32,16.64,2
8.34,16.68,2
8.36,16.72,2
8.38,16.76,2
8.4,16.8,2
8.42,16.84,2
8.44,16.88,2
8.46,16.92,2
8.48,16.96,2
8.5,17,2
8.52,17.04,2
8.54,17.08,2
8.56,17.12,2
8.58,17.16,2
8.6,17.2,2
8.62,17.24,2
8.64,17.28,2
8.66,17.32,2
8.68,17.36,2
8.7,17.4,2
8.72,17.44,2
8.74,17.48,2
8.76,17.52,2
8.78,17.56,2
8.8,17.6,2
8.82,17.64,2
8.84,17.68,2
8.86,17.72,2
8.88,17.76,2
8.9,17.8,2
8.92,17.84,2
8.94,17.88,2
8.96,17.92,2
8.98,17.96,2
9,18,2
9.02,18.04,2
9.04,18.08,2
9.06,18.12,2
9.08,18.16,2
9.1,18.2,2
9.12,18.24,2
9.14,18.28,2
9.16,18.32,2
9.18,18.36,2
9.2,18.4,2
9.22,18.44,2
9.24,18.48,2
9.26,18.52,2
9.28,18.56,2
9.3,18.6,2
9.32,18.64,2
9.34,18.68,2
9.36,18.72,2
9.38,18.76,2
9.4,18.8,2
9.42,18.84,2
9.44,18.88,2
9.46,18.92,2
9.48,18.96,2
9.5,19,2
9.52,19.04,2
9.54,19.08,2
9.56,19.12,2
9.58,19.16,2
9.6,19.2,2
9.62,19.24,2
9.64,19.28,2
9.66,19.32,2
9.68,19.36,2
9.7,19.4,2
9.72,19.44,2
9.74,19.48,2
9.76,19.52,2
9.78,19.56,2
9.8,19.6,2
9.82,19.64,2
9.84,19.68,2
9.86,19.72,2
9.88,19.76,2
9.9,19.8,2
9.92,19.84,2
9.94,19.88,2
9.96,19.92,2
9.98,19.96,2
10,20,2
10,20,2
